singular;plural;gender;english singular;english plural;level;lesson
Monat;Monate;m;month;months;a1.1;11
Paar;Paare;n;couple;couples;a1.1;11
Party;Partys;f;party;parties;a1.1;11
Reise;Reisen;f;trip;trips;a1.1;11
Sport;;m;sports;;a1.1;11
Wein;Weine;m;wine;wines;a1.1;11
Ding;Dinge;n;thing;things;a2.1;2
Ecke;Ecken;f;corner;corners;a2.1;2
Fernsehgerät;Fernsehgeräte;n;tv;tvs;a2.1;2
Gegenstand;Gegenstände;m;object;objects;a2.1;2
Herd;Herde;m;stove;stoves;a2.1;2
Kissen;Kissen;n;pillow;pillows;a2.1;2
Raum;Räume;m;room;rooms;a2.1;2
Regal;Regale;n;shelf;shelves;a2.1;2
Schreibtisch;Schreibtische;m;writing desk;writing desks;a2.1;2
Spiegel;Spiegel;m;mirror;mirrors;a2.1;2
Tür;Türen;f;door;doors;a2.1;2
Vorhang;Vorhänge;m;curtain;curtains;a2.1;2
Wand;Wände;f;wall;walls;a2.1;2
Werkzeug;Werkzeuge;n;tool;tools;a2.1;2
Heft;Hefte;n;notebook;notebooks;a2.1;2
Souvenir;Souvenirs;n;souvenir;souvenir;a2.1;2
Cousin;Cousins;m;cousin;cousins;a2.1;1
Cousine;Cousinen;f;cousin;cousins;a2.1;1
Neffe;Neffen;m;nephew;nephews;a2.1;1
Nichte;Nichten;f;neice;neices;a2.1;1
Onkel;Onkel;m;uncle;uncles;a2.1;1
Tante;Tanten;f;aunt;aunts;a2.1;1
Geschichte;Geschichten;f;story;stories;a2.1;1
Jugendliche;Jungendlichen;m;youth;youths;a2.1;1
Puppe;Puppen;f;doll;dolls;a2.1;1
Sache;Sachen;f;stuff;stuff;a2.1;1
Spiel;Spiele;n;game;games;a2.1;1
Anfang;Anfänge;m;beginning;beginnings;a2.1;1
Ende;Enden;n;end;ends;a2.1;1
Mannschaft;Mannschaften;f;team;teams;a2.1;1
Pfeffer;;m;pepper;;a2.1;1
Punkt;Punkte;m;point;points;a2.1;1
Satz;Sätze;m;sentence;sentences;a2.1;1
Schluss;;m;ending;;a2.1;1
Studium;;n;education;;a2.1;1
Zigarette;Zigaretten;f;cigarette;cigarettes;a2.1;1
Frühling;Frühlinge;m;spring;springs;a1.1;12
Sommer;Sommer;m;summer;summer;a1.1;12
Herbst;Herbste;m;fall;falls;a1.1;12
Winter;Winter;m;winter;winters;a1.1;12
Januar;Januare;m;January;Januaries;a1.1;12
Februar;Februare;m;February;Februaries;a1.1;12
März;Märze;m;March;Marches;a1.1;12
April;Aprile;m;April;Aprils;a1.1;12
Mai;Maie;m;May;Mays;a1.1;12
Juni;Junis;m;June;Junes;a1.1;12
Juli;Julis;m;July;Julys;a1.1;12
August;Auguste;m;August;Augusts;a1.1;12
September;September;m;September;Septembers;a1.1;12
Oktober;Oktober;m;October;Octobers;a1.1;12
November;November;m;November;Novembers;a1.1;12
Fest;Feste;n;party;parties;a1.1;12
Hochzeit;Hochzeiten;f;wedding;weddings;a1.1;12
Karneval;;m;carnival;;a1.1;12
Neujahr;Neujahre;f;New Year’s;New Years’;a1.1;12
Silvester;Silvester;n;New Year’s Eve;New Year’s Eves;a1.1;12
Bier;Biere;n;beer;beer;a1.1;12
Person;Personen;f;person;people;a1.1;12
